"Distance [mm]","ComplexMag_Hz [] - $epsr_eff='-2359800' $sigma_eff='416.58' Freq='0.001GHz' Phase='0deg'","ComplexMag_Hz [] - $epsr_eff='1' $sigma_eff='0' Freq='0.001GHz' Phase='0deg'"
0,16.9469036329532,167.753370428596
0.7,16.8909943771301,167.52022520155
1.4,16.4705801633575,167.28707985629
2.1,16.5104702272272,167.053934392813
2.8,16.5509533480297,165.963670981752
3.5,16.592029525765,166.273895385722
4.2,16.633698760433,166.584119777163
4.9,16.6759610520339,166.894344156076
5.6,16.7188164005676,167.204568522461
6.3,16.762264806034,167.514792876319
7,16.8063062684333,167.825017217648
7.7,16.8509407877653,168.13524154645
8.4,17.3618932690236,168.445465862723
9.1,17.4869831876901,167.496286350438
9.8,17.6188184899765,168.11258440284
10.5,17.7573991758827,168.728882393907
11.2,17.9027252454087,169.34518032364
11.9,18.0547966985545,169.961478192039
12.6,18.2136135353201,170.577775999104
13.3,18.3791757557055,171.194073744834
14,18.5514833597107,172.130256296602
14.7,18.7305363473357,172.538596259718
15.4,18.9163347185806,172.946936263411
16.1,19.1088784734452,173.355276307679
16.8,19.3081676119297,173.763616392523
17.5,19.5142021340339,174.171956517942
18.2,19.726982039758,174.580296683938
18.9,19.9465073291019,174.988636890509
19.6,20.1727780020656,175.396977137656
20.3,20.4057940586491,175.805317425379
21,20.6455554988524,176.213657753678
21.7,21.0047061987169,176.621998122552
22.4,21.3193976447495,177.030338532002
23.1,21.64644611684,177.438678982028
23.8,21.9858516149886,177.84701947263
24.5,22.3376141391951,179.073420837406
25.2,22.7017336894595,179.629592906932
25.9,23.078210265782,180.18576525618
26.6,23.4670438681624,180.74193788515
27.3,23.8682344966008,181.29811079384
28,24.2817821510972,181.854283982252
28.7,24.7076868316516,182.410457450385
29.4,25.1459485382639,182.96663119824
30.1,25.5965672709342,183.522805225815
30.8,26.0595430296625,184.078979533112
31.5,26.5348758144487,186.250098606406
32.2,27.022565625293,187.383853172534
32.9,27.5226124621952,188.517607830998
33.6,28.0350163251554,189.651362581799
34.3,28.5597772141735,190.785117424937
35,29.0968951292496,191.918872360411
35.7,29.6463700703837,193.052627388223
36.4,30.2082020375758,194.186382508371
37.1,30.7823910308259,195.320137720856
37.8,32.4031739287703,195.430418288775
38.5,36.0954743742021,195.984776351095
39.2,36.917328058909,197.62549296893
39.9,37.7818275998045,199.266209499921
40.6,38.6889729968887,200.906925944068
41.3,39.6387642501617,202.547642301371
42,40.6312013596233,204.18835857183
42.7,41.6662843252736,205.829074755444
43.4,42.7440131471126,207.469790852215
44.1,43.8643878251403,209.110506862142
44.8,45.0274083593567,210.751222785224
45.5,46.2330747497618,212.391938621462
46.2,47.4813869963556,214.032654370857
46.9,48.7723450991381,215.673370033407
47.6,50.1059490581093,217.314085609113
48.3,51.4821988732692,218.954801097975
49,52.9010945446178,224.26169676226
49.7,54.362636072155,225.557469933852
50.4,55.866823455881,226.853243234726
51.1,57.4136566957956,228.149016664882
51.8,59.003135791899,227.632096621841
52.5,60.6352607441911,229.625528048174
53.2,62.3100315526718,231.618959507661
53.9,64.0274482173412,233.612391000304
54.6,65.7875107381994,235.605822526102
55.3,67.5902191152462,237.599254085054
56,69.4355733484817,239.592685677163
56.7,71.3235734379059,241.586117302426
57.4,72.3805441442582,240.882047984529
58.1,74.1238105365193,243.832991899079
58.8,80.3270448359097,246.783935926019
59.5,82.7543014572537,249.734880065346
60.2,85.2204372722628,252.685824317063
60.9,87.7254522809371,255.636768681168
61.6,89.9551961500604,258.587713157661
62.3,92.5593917272251,261.538657746543
63,95.1988177508787,264.489602447813
63.7,97.8734742210214,267.440547261472
64.4,100.583361137653,268.593319639755
65.1,103.328478500774,271.506582475776
65.8,106.108826310384,274.419845699266
66.5,108.924404566482,277.333109310226
67.2,111.77521326907,280.246373308654
67.9,114.661252418147,283.159637694552
68.6,117.582522013713,286.072902467918
69.3,120.539022055768,288.986167628754
70,128.125908018484,291.899433177058
70.7,132.631023221476,294.812699112832
71.4,137.255904022731,297.725965436074
72.1,142.000550422248,300.639232146786
72.8,146.864962420028,303.552499244966
73.5,151.84914001607,306.465766730616
74.2,156.953083210376,309.379034603735
74.9,162.176792002943,312.292302864322
75.6,167.520266393773,315.205571512379
76.3,172.983506382866,318.118840547905
77,178.566511970221,321.0321099709
77.7,184.269283155839,324.585398482607
78.4,187.70302352794,327.400113279685
79.1,198.187501376924,337.900866539141
79.8,204.478078173968,340.806488987705
