"Distance [mm]","ComplexMag_Hz [] - $epsr_eff='-2359800' $sigma_eff='416.58' Freq='0.001GHz' Phase='0deg'","ComplexMag_Hz [] - $epsr_eff='1' $sigma_eff='0' Freq='0.001GHz' Phase='0deg'"
0,20.5460928326989,218.445204339936
0.7,20.6179387062038,218.477098064649
1.4,20.6921676150411,218.508991793227
2.1,20.7687795592106,218.540885525669
2.8,20.8477745387125,218.572779261977
3.5,20.9291525535467,218.604673002149
4.2,21.0129136037131,218.636566746187
4.9,21.0990576892119,218.668460494088
5.6,21.187584810043,218.700354245855
6.3,21.2784949662064,218.732248001487
7,21.3717881577021,220.007607585197
7.7,21.4674643845301,219.57436704234
8.4,21.5655236466904,219.816404880155
9.1,21.6659659441831,220.05844264801
9.8,21.768791277008,220.300480345906
10.5,21.8739996451652,218.4635796415
11.2,21.9815910486548,218.722865260588
11.9,22.0915654874767,219.582545484724
12.6,22.2039229616308,220.036324171897
13.3,22.3186634711173,220.490102775925
14,22.4357870159361,220.943881296806
14.7,22.5552935960872,221.397659734541
15.4,22.6771832115706,221.85143808913
16.1,22.8014558623863,222.305216360573
16.8,22.9281115485344,222.75899454887
17.5,23.0571502700147,223.212772654021
18.2,23.1885720268273,223.666550676026
18.9,23.3223768189723,224.120328614884
19.6,23.4585646464496,224.574106470597
20.3,23.5971355092591,225.027884243163
21,23.738089407401,225.481661932584
21.7,23.8814263408752,225.935439538858
22.4,24.0271463096817,226.389217061987
23.1,24.1752493138205,226.842994501969
23.8,24.3257353532916,227.296771858805
24.5,25.0099587042415,227.750549132495
25.2,25.1980357260695,228.204326323039
25.9,25.3895415983489,228.087632043055
26.6,26.6943373210967,228.814418847144
27.3,26.8592424890375,232.290593422485
28,28.7312208390602,233.022124046019
28.7,29.3028063097168,233.980548269418
29.4,30.3852440124068,235.273385390142
30.1,30.9405843767315,236.422013714139
30.8,31.5179791675154,237.378028286689
31.5,32.1174283847584,238.334043024818
32.2,32.9700035015756,239.290057928526
32.9,33.5589904375723,240.246072997813
33.6,34.1822973430017,241.202088232679
34.3,34.8399242178637,242.158103633124
35,35.5318710621585,243.114119199149
35.7,36.2581378758858,244.070134930752
36.4,37.0187246590459,245.026150827935
37.1,37.8136314116387,245.982166890696
37.8,38.6428581336641,246.938183119037
38.5,39.5064048251222,247.894199512957
39.2,40.4042714860131,248.850216072455
39.9,41.3364581163365,252.638361555388
40.6,42.3029647160927,253.627210970629
41.3,43.754193061022,253.63768091469
42,44.7635144958637,255.005905055383
42.7,45.8042554522327,256.374129312368
43.4,46.8764159301291,257.742353685645
44.1,49.4267665217648,259.110578175215
44.8,50.0109788801947,260.478802781077
45.5,51.3451482638705,261.847027503232
46.2,52.7222859587073,263.215252341679
46.9,54.142391964705,264.583477296418
47.6,55.6054662818636,265.95170236745
48.3,57.1115089101832,267.319927554774
49,58.6605198496636,268.68815285839
49.7,60.252499100305,270.056378278299
50.4,61.8874466621073,271.4246038145
51.1,63.5653625350706,272.792829466994
51.8,65.2862467191947,274.161055235779
52.5,67.0500992144798,275.529281120858
53.2,68.8569200209258,279.867636070452
53.9,72.0476105478434,281.493815870619
54.6,74.2368892936686,283.119995715285
55.3,76.47371027497,284.746175604453
56,78.7580734917476,286.37235553812
56.7,81.0899789440013,287.998535516288
57.4,83.4694266317312,293.609631908477
58.1,85.8964165549373,295.924379800861
58.8,88.3709487136195,298.239127923996
59.5,90.7732048192406,300.553876277882
60.2,93.6149305403645,302.868624862517
60.9,96.497314920191,305.183373677903
61.6,99.4203579587199,305.649588571288
62.3,101.502713491033,308.326301541203
63,104.808308958653,311.003014197579
63.7,108.640340816115,313.679726540417
64.4,111.728230769435,312.474858355981
65.1,114.883636681835,315.668649077582
65.8,118.106558553316,318.862440504084
66.5,121.396996383877,322.056232635489
67.2,124.754950173519,322.4553203691
67.9,128.92466690029,325.712273969136
68.6,132.850051038901,328.969228493217
69.3,136.870175307796,332.226183941343
70,140.985039706974,335.483140313515
70.7,146.530263891825,338.740097609732
71.4,151.596273445411,341.997055829993
72.1,156.771452780259,345.254014974301
72.8,162.055801896369,348.510975042653
73.5,166.711968934853,351.767936035051
74.2,172.528329862466,354.584053424773
74.9,178.447106907915,357.747156005562
75.6,184.468300071198,360.910260487876
76.3,190.591909352316,364.073366871714
77,196.817934751269,366.810657288924
77.7,203.146376268057,370.260782986411
78.4,209.57723390268,375.696154794576
79.1,216.110507655138,378.996382442473
79.8,222.74619752543,382.296611875936
80.5,229.484303513557,385.596843094964
81.2,236.324825619519,389.628840084029
81.9,243.267763843316,394.196335044062
82.6,249.937613588058,398.395562980356
83.3,256.862294747616,402.59479047035
84,266.59569862288,406.794017514044
84.7,274.90660795373,410.993244111439
85.4,283.386798919446,415.192470262533
86.1,292.036271520029,418.841661334114
86.8,301.315172599863,423.399496258971
87.5,312.002296318076,427.95733242405
88.2,322.843366631979,433.253199155558
88.9,333.83838354157,437.674669260061
89.6,344.987347046851,441.709763018741
90.3,355.133364974252,445.815945616712
91,366.679586598932,450.514732645538
91.7,379.035410392016,455.746678863635
92.4,391.370470718061,460.799893065681
93.1,404.068211279457,465.814467328052
93.8,416.791878900348,470.857401488693
94.5,429.682961603985,475.804872144826
95.2,443.441080979769,480.123807348725
95.9,457.888709510246,486.129275708335
96.6,472.47524358872,492.697122351186
97.3,488.738401551213,498.533561507822
98,506.07739236039,504.418935326505
98.7,523.73357284343,510.530197220296
99.4,541.706943000333,516.643333195131
100.1,559.997502831099,522.117695666562
100.8,578.605252335728,527.792500571089
101.5,597.53019151422,534.012783589271
102.2,616.772320366574,540.237839932173
102.9,636.331638892793,546.462891650948
103.6,656.271426250337,552.807520229937
104.3,676.347862423205,559.066892572799
105,696.730575646652,565.326265086086
105.7,719.048689333994,572.003719925306
106.4,741.867952228441,578.881955881464
107.1,763.951563516751,585.994417970134
107.8,794.167390510844,593.230458447773
108.5,821.540889363289,600.546282576705
109.2,848.872623376532,607.862111423018
109.9,877.110397647516,615.174066252308
110.6,905.742078369684,622.608226549595
111.3,935.460612909542,630.042385821615
